LINE,LOTID,Data_Time,Model No.,[A]Zone1_Feature1_SV,[A]Zone1_Feature1_PV,[A]Zone1_Feature2_PV,[A]Zone1_Feature3_PV,[A]Zone2_Feature4_SV,[A]Zone2_Feature4_PV,[A]Zone2_Feature5_SV,[A]Zone2_Feature5_PV,[A]Zone2_Feature6_SV,[A]Zone2_Feature6_PV,[A]Zone3_Feature7_PV,[A]Zone3_Feature8_SV,[A]Zone3_Feature8_PV,[A]Zone4_Feature9_PV,[A]Zone4_Feature10_SV,[A]Zone4_Feature10_PV,[A]Zone5_Feature11_PV,[A]Zone5_Feature12_PV,[A]Zone5_Feature12_SV,[A]Zone6_Feature13_PV,[A]Zone6_Feature13_SV,[A]Zone6_Feature14_PV,[A]Zone6_Feature14_SV,[B]Feature15,[B]Feature16,[C]Feature17,[C]Feature18,[C]Feature19,[C]Feature20,[D]Feature21,[D]Feature22,[D]Feature23,[D]Feature24,[D]Feature25,[D]Feature26,[D]Feature27,[D]Feature28,[E]Feature29,[E]Feature30,[E]Feature31,[E]Feature32,[E]Feature33,[F]Feature34,[F]Feature35,[F]Feature36,[F]Feature37,[F]Feature38,[F]Feature39,[F]Feature40,[F]Feature41,[G]Zone1_Feature42,[G]Zone2_Feature43,[G]Zone3_Feature44,[G]Zone4_Feature45,[G]Zone5_Feature46,[G]Zone6_Feature47,[G]Zone7_Feature48,[G]Zone8_Feature49,[G]Zone10_Feature50,[H]Feature51,[H]Feature52,[H]Feature53,[I]Feature54,[I]Zone1_Feature55,[I]Zone1_Feature56,[I]Zone1_Feature57,[I]Zone2_Feature58,[I]Zone2_Feature59,[I]Zone2_Feature60,[I]Zone3_Feature61,[I]Zone3_Feature62,[I]Zone4_Feature63,[I]Zone4_Feature64,[I]Zone5_Feature65,[I]Zone5_Feature66,[I]Zone6_Feature67,[I]Zone6_Feature68,[I]Feature69,[I]Feature70,[I]Feature71,[I]Feature72,[I]Feature73,[I]Feature74,[I]Feature75,[I]Feature76,[I]Feature77,[I]Feature78,[I]Feature79,[I]Feature80,[I]Feature81,[I]Feature82,[I]Feature83,[I]Feature84,[I]Feature85,[I]Feature86,[J]Zone1_Feature87_SV,[J]Zone1_Feature87_PV,[J]Zone1_Feature88,[J]Zone1_Feature89,[J]Zone1_Feature90_SV,[J]Zone1_Feature90_PV,[J]Zone1_Feature91,[J]Zone1_Feature92,[J]Zone2_Feature93_SV,[J]Zone2_Feature93_PV,[J]Zone2_Feature94,[J]Zone2_Feature95,[J]Zone2_Feature96_SV,[J]Zone2_Feature96_PV,[J]Zone2_Feature97,[J]Zone3_Feature98_SV,[J]Zone2_Feature98_PV,[J]Feature99,[J]Feature100,[J]Feature101,[K]Feature101,[K]Feature102,[L]Zone1_Feature103,[L]Zone1_Feature104,[L]Zone1_Feature105,[L]Zone1_Feature106,[L]Zone1_Feature107,[L]Zone1_Feature108,[L]Zone1_Feature109,[L]Zone2_Feature110,[L]Zone2_Feature111,[L]Zone2_Feature112,[L]Zone2_Feature113,[L]Zone2_Feature114,[L]Zone2_Feature115,[L]Zone2_Feature116,[L]Zone3_Feature117,[L]Zone3_Feature118,[L]Zone3_Feature119,[L]Zone4_Feature120,[L]Zone4_Feature121,[L]Zone4_Feature122,[L]Zone5_Feature123,[L]Zone5_Feature124,[L]Zone5_Feature125,[L]Zone6_Feature126,[L]Zone6_Feature127,[L]Zone6_Feature128,[L]Feature129,[L]Feature130,[L]Feature131,[M]Feature132,[M]Feature133_SV,[M]Feature134,[M]Feature135_SV,[N]Zone1_Feature136,[N]Zone2_Feature137,[N]Zone3_Feature138,[N]Zone4_Feature139,[N]Zone5_Feature140,[N]Zone6_Feature141,[O]Feature142,[O]Feature143,[P]Feature144_SV,[P]Feature145_SV,[P]Feature146_PV,[P]Feature146_SV,[P]Feature148_PV,[P]Feature148_SV,[P]Feature150_PV,[P]Feature151_SV,[Q]Feature152,[Q]Feature153,[R]Zone1_Feature154,[R]Zone1_Feature155,[R]Zone1_Feature156,[R]Zone1_Feature157,[R]Zone2_Feature158,[R]Zone2_Feature159,[R]Zone2_Feature160,[R]Zone2_Feature161,[R]Zone3_Feature162,[R]Zone3_Feature163,[R]Zone4_Feature164,[R]Zone4_Feature165,[R]Zone5_Feature166,[R]Zone5_Feature167,[R]Zone6_Feature168,[R]Zone6_Feature169,[S]Zone1_Feature170_SV,[S]Zone1_Feature171,[S]Zone1_Feature172,[S]Zone1_Feature173,[S]Zone1_Feature174,[S]Zone1_Feature175,[S]Zone1_Feature176,[S]Zone2_Feature177_SV,[S]Zone2_Feature178,[S]Zone2_Feature179,[S]Zone2_Feature180,[S]Zone2_Feature181,[S]Zone2_Feature182,[S]Zone2_Feature183,[S]Zone3_Feature184,[S]Zone3_Feature185_SV,[S]Zone3_Feature186,[S]Zone3_Feature187,[S]Zone4_Feature188,[S]Zone4_Feature189,[S]Zone4_Feature190_SV,[S]Zone4_Feature191,[S]Zone5_Feature192,[S]Zone5_Feature193,[S]Zone5_Feature194_SV,[S]Zone5_Feature195,[S]Zone6_Feature196,[S]Zone6_Feature197,[S]Zone6_Feature198_SV,[S]Zone6_Feature199,[T]Zone1_Feature200,[T]Zone1_Feature201,[T]Zone2_Feature202,[T]Zone2_Feature203,[T]Zone3_Feature204,[T]Zone3_Feature205,[T]Zone4_Feature206,[T]Zone4_Feature207,[T]Zone5_Feature208,[T]Zone5_Feature209,[T]Zone6_Feature210,[T]Zone6_Feature211,CTQ 1,CTQ 1_LSL,CTQ 2,CTQ 2_LSL,CTQ 3,CTQ 3_USL,CTQ 3_LSL,CTQ 4,CTQ 4_USL,CTQ 4_LSL,CTQ 5,CTQ 5_USL,CTQ 5_LSL
R13,CDRC19060690,2019-06-14 0:48,AAA11111111,65,644.5714286,1299,1350,132,1321,184,1839,189,1890,1849,134,1317.857143,1749,101,999,1699,1239.571429,125,1449,145,836.2857143,85,,,0,547.1285714,-1.371428571,994.3,100,45,45,40.01428571,100,35,35,42.35714286,0,173,20567834.86,8183.714286,316.0857143,237.9857143,39.3,7.414285714,7.414285714,200,200,202.3142857,199.8857143,18.8,35.08571429,37.2,0,0,0.185714286,0,0.014285714,0.014285714,0.042857143,0.142857143,50.34285714,21.84285714,53.42857143,49.48571429,48.55714286,71.55714286,60.82857143,60.08571429,91.75714286,77,89.08571429,60.95714286,83.31428571,69.08571429,63.22857143,56.52857143,57.27142857,31.18571429,71.4,67.05714286,10.24285714,7.885714286,58.45714286,31.95714286,72.2,67.57142857,0,32.42857143,11.14285714,0,0.714285714,3.028571429,3.228571429,13.65714286,55,65.5,58.94285714,47.38571429,30,29.68571429,55,30,20,15.62857143,23.32857143,32.75714286,19,12.5,19,40,22.54285714,40,21.34285714,23.58571429,10.02857143,4.5,11.84285714,62.15714286,54.52857143,56.71428571,43.11428571,8.714285714,60.01428571,11.15714286,63.08571429,52.42857143,52.84285714,54.62857143,20.91428571,72.18571429,76.74285714,5.971428571,65.28571429,72.98571429,29.41428571,60.61428571,71.51428571,9.414285714,60.31428571,80.51428571,1.571428571,52.55714286,40,25.37142857,23.6,2313417.043,1.5,2386202.157,1.575,-0.167142857,-2.238571429,-2.222857143,-3.21,-2.91,-3.08,89.7,216.8142857,5,5,4.157142857,4,6.571428571,6.6,4.342857143,4.3,15.03414286,15.77814286,1.114285714,25.8,25.07142857,11.5,40.3,53.27142857,19.17142857,0,44.54285714,95.01428571,47.35714286,69.9,60.1,80.15714286,34.35714286,58.67142857,3.4,-8,0.14,4.298571429,3.52,3.224285714,2.738571429,4.45,1.214285714,5.181428571,8.875714286,4.44,2.462857143,0.01,2.75,8.85,-16.32857143,9.048571429,2.924285714,6.657142857,6.6,-10.65714286,3.71,7.634285714,7.6,-7.885714286,2.121428571,5.588571429,5.5,-15.52857143,1.585714286,0.128571429,20.54285714,3.757142857,9.842857143,14.55714286,21.38571429,18.68571429,20.24285714,20.57142857,1.528571429,-2.9,105.6666667,75,105.6666667,75,17.85,20.5,15.5,14.085,16,13,643.3333333,950,450
R13,CDRC19060691,2019-06-14 0:58,AAA11111111,65,633.4285714,1299,1350,132,1318.142857,184,1839,189,1890,1849,134,1298.714286,1749,101,983.8571429,1699,1223.285714,125,1449,145,820.7142857,85,,,10.62857143,401.2428571,121.2571429,998.6,100,45,45,40.05714286,100,50,50,42.34285714,0,173,20569882.29,8387.142857,430.6285714,237.9142857,39.3,7.442857143,7.414285714,200,200,201.9,199.9714286,19.61428571,35.04285714,35.7,0,0,0.128571429,0,0,0.014285714,-0.257142857,0.285714286,50.5,20.91428571,53.25714286,49.61428571,48.57142857,71.61428571,60.85714286,60.15714286,91.25714286,76.28571429,89.5,60.25714286,83.62857143,68.24285714,63.41428571,55.92857143,57.1,31.18571429,71.25714286,67.05714286,10.2,7.585714286,57.7,30.9,72.37142857,67.32857143,6.428571429,35.57142857,11.28571429,0.571428571,1.571428571,3.357142857,2.942857143,13.47142857,55,67.2,61.22857143,46.14285714,30,28.64285714,55,30,20,15.58571429,24.12857143,34.15714286,19,12.61428571,19,40,25.05714286,39.9,21.3,23.55714286,9.857142857,4.5,12.1,61.47142857,54.02857143,56.4,43.94285714,5.085714286,61.38571429,11.41428571,62.92857143,51.68571429,51.21428571,53.2,21.9,72,79.41428571,20.07142857,62.15714286,71.77142857,29.25714286,59.97142857,63.6,26.88571429,56.21428571,54.42857143,4.171428571,49.45714286,40,25.27142857,23.5,2313570.171,1.5,2386362.829,1.575,-0.145714286,-2.225714286,-2.207142857,-3.04,-2.718571429,-2.838571429,201.8285714,241.6714286,5,5,4.042857143,4,6.6,6.6,4.557142857,4.3,15.034,15.77914286,0.628571429,25.55714286,25.64285714,11.38571429,39.98571429,52.98571429,18.37142857,0,43.95714286,92.17142857,49.5,69.41428571,62.97142857,81.08571429,33.35714286,59.1,3.4,-24.5,0.08,4.258571429,3.485714286,3.3,2.71,4.45,-1.071428571,5.141428571,8.83,4.417142857,2.361428571,0.01,2.714285714,8.85,-29.25714286,8.778571429,3.055714286,6.612857143,6.6,-25.55714286,3.887142857,7.722857143,7.6,-21.82857143,2.06,5.627142857,5.5,-33.88571429,1.614285714,0.128571429,20.58571429,3.814285714,9.457142857,14.54285714,21.54285714,18.84285714,20.54285714,20.9,1.642857143,-2.828571429,105.6666667,75,105.6666667,75,17.85,20.5,15.5,14.085,16,13,643.3333333,950,450
R13,CDRC19060692,2019-06-14 1:08,AAA11111111,65,626.625,1299,1350,132,1315.125,184,1839,189,1890,1849,134,1295.875,1749,101,975.375,1699,1216.25,125,1449,145,814.125,85,,,534.75,0,213.1125,874.275,100,35,35,40.0625,100,53.75,53.75,42.35,8655.25,323.275,20571923,0,173,238.0125,39.3,7.4375,7.4375,200,200,201.8875,200.0125,20.3875,35.65,33.475,0,0,0.175,0,0.0125,0.025,1.39E-17,0.0625,50.375,20.4125,53.625,49.45,48.6875,71.525,60.8375,59.9375,91.5625,76.0375,89.225,60.125,83.6875,67.275,63.225,56.45,56.6375,31.95,71.6375,67.25,10,7.95,57.45,30.8375,72.325,67.3875,27.125,0,11,1.375,1.25,3.175,3.05,13.15,55,66.675,60.8375,49.625,30,27.225,55,30,20,15.5125,24.1625,34.2625,19,12.5125,19,40,24.6125,39.925,21.475,22.9375,9.625,4.5,9.7375,62.3875,54.175,56.6625,44.8125,4.2625,62.35,11.1875,63,51.55,50.8,52.8,21.5125,72,73.6875,15.075,62.55,73.9875,29.5625,59.9625,63.525,14.7125,58.225,57.7875,6.525,49.775,39.8,25.2,23.6,2313722.675,1.5,2386522.925,1.575,-0.1075,-1.98125,-1.83125,-2.70125,-2.40875,-2.5825,269.7,251.8,5,5,4.1875,4,6.575,6.6,4.675,4.3,15.028875,15.75825,1,25.0875,25.3125,11.2625,40.75,53.025,19.575,0,44.1,94.05,51.4125,70.2625,56.6125,80.7625,33.85,58.55,3.4,-35.7,0.125,4.18,3.42,3.25375,2.68,4.45,-3.55,5.24,8.83875,4.41625,2.5175,0.01,2.7225,8.85,-32.675,8.955,3.17375,6.69125,6.6,-34.0875,3.495,7.69125,7.6,-26.6875,2.09,5.575,5.5,-41.7625,1.6625,0.1625,20.7125,4.0625,10.0125,15.0375,21.45,18.7375,20.8,21.0625,1.95,-2.6375,106.6666667,75,105.6666667,75,18.525,20.5,15.5,14.2975,16,13,675.6666667,950,450
R13,CDRC19060693,2019-06-14 1:18,AAA11111111,65,623.4285714,1299,1350,132,1312,184,1839,189,1890,1849,134,1296.714286,1749,101,974.1428571,1699,1214.285714,125,1449,145,810.5714286,85,,,398.7285714,149.3,365.8857143,846.8142857,100,38,38,40.02857143,100,40,40,42.45714286,8931.142857,434.9142857,20573968.57,0,173,238.0428571,39.3,7.428571429,7.428571429,200,200,201.8857143,199.9571429,20.52857143,36.91428571,31.42857143,0,0,0.2,0,0,0.028571429,-0.142857143,0.571428571,50.34285714,20.14285714,52.92857143,49.67142857,48.5,71.17142857,60.78571429,59.87142857,91.6,76.44285714,89.51428571,60.48571429,83.74285714,67.21428571,63.28571429,56.51428571,56.91428571,31.68571429,71.4,67.27142857,9.8,7.628571429,57.71428571,31.4,72.58571429,67.48571429,35.85714286,5.142857143,10.85714286,1.142857143,0.285714286,3.014285714,3.228571429,13.17142857,55,65.55714286,60.52857143,51.37142857,30,28.75714286,55,30,20,15.48571429,24.15714286,34.44285714,19,12.47142857,19,40,24.12857143,39.9,20.8,22.27142857,9.742857143,4.5,11.74285714,62.27142857,54.21428571,56.58571429,45.5,9.828571429,60.17142857,10.57142857,63.08571429,51.6,50.2,52.6,21.05714286,72.1,78.25714286,12.08571429,63.61428571,73.37142857,29.3,60.02857143,70.98571429,16.47142857,58.74285714,56.91428571,8.057142857,49.62857143,39.8,25.3,23.9,2313875.643,1.5,2386683.443,1.575,-0.101428571,-1.957142857,-1.844285714,-2.644285714,-2.44,-2.584285714,114.3285714,269.5428571,5,5,4.228571429,4,6.571428571,6.6,4.742857143,4.3,15.033,15.78742857,0.857142857,24.78571429,25.64285714,11.12857143,40.38571429,53.02857143,18.95714286,0,42.82857143,92.92857143,47.71428571,69.51428571,55.32857143,80.2,30.64285714,57.58571429,3.4,-40.64285714,0.11,4.132857143,3.382857143,3.298571429,2.651428571,4.45,-5.9,5.194285714,8.837142857,4.422857143,2.437142857,0.01,2.642857143,8.85,-33.3,8.85,2.945714286,6.621428571,6.6,-35.1,3.415714286,7.64,7.6,-28.3,1.891428571,5.485714286,5.5,-45.87142857,1.7,0.157142857,20.54285714,4.1,10.12857143,14.92857143,21.57142857,18.82857143,20.61428571,21.05714286,1.757142857,-2.628571429,106.6666667,75,105.6666667,75,18.525,20.5,15.5,14.2975,16,13,675.6666667,950,450
R13,CDRC19060694,2019-06-14 1:28,AAA11111111,65,621.5,1299,1350,132,1309.5,184,1839,189,1890,1849,134,1291.125,1749,101,970.5,1699,1213.75,125,1449,145,810,85,,,0,529.075,427.1875,738.8,100,35,35,40.0125,100,40,40,42.3875,0,173,20576008.75,9146.5,326.275,237.975,39.3,7.4,7.45,200,200,201.8,199.95,20.4625,36.95,31.4,0,0,0.2125,0,0.025,0,-0.025,0.4,50.175,19.9375,53.425,49.6,48.475,70.9875,60.9375,59.9,91.4125,75.9,89.4625,60.25,83.6875,69.1125,63.1125,56.5125,56.725,31.8875,71.15,66.7,9.6125,7.5125,57.7375,31.5875,72.45,67.6875,0,31.25,11.125,1,1,3.05,2.8125,13.175,55,66.3125,61.175,51.1875,30,29.3375,55,30,20,15.625,24.25,34.425,19,12.5375,19,40,24.6375,39.9,21.2375,22.2875,9.7,4.5,13.1375,61.4875,54.1125,56.4375,45.5875,6.75,60.6,11.525,62.95,51.5,50.2,52.475,21.4125,72,83,16.8875,62.7625,73.875,29.675,59.925,67.475,21.7625,57.4,55.4875,11.4375,49.1,39.8,25.475,24.175,2314028.238,1.5,2386843.588,1.575,-0.08,-1.87375,-1.73375,-2.5125,-2.25,-2.4825,89.7,273,5,5,4.0625,4,6.525,6.6,4.65,4.3,15.03275,15.78475,0.825,24.8875,25.0125,11.1875,40.375,53,19.0375,0,43.2125,93.175,45.2375,69,60,79.375,33,57.85,3.4,-43.65,0.10375,4.15,3.40875,3.2175,2.66125,4.45,-7.775,5.19125,8.835,4.43375,2.4475,0.01,2.6675,8.85,-36.8125,8.8725,2.7925,6.57375,6.6,-38.225,3.70375,7.55875,7.6,-28.475,2.0375,5.50875,5.5,-47.3,1.7125,0.1875,20.7375,4.1625,10,15.025,21.65,18.975,20.9125,21.45,1.925,-2.525,99,75,100.6666667,75,18.60833333,20.5,15.5,14.575,16,13,815.3333333,950,450
R13,CDRC19060695,2019-06-14 1:38,AAA11111111,65,620,1299,1350,132,1309.125,184,1839,189,1890,1849,134,1293.125,1749,101,970.75,1699,1214.125,125,1449,145,810.25,85,,,375.35,349.5,533.8125,604.7875,100,36.5,36.5,40.025,100,41.5,41.75,42.425,20.5,173.4,20578047.25,8041.25,401.875,237.9625,39.3,7.425,7.425,200,200,201.825,199.975,20.875,37.475,30.6375,0,0,0.175,0,0.0125,0,-6.94E-18,0.4875,50.275,19.75,53.5,49.5,48.55,70.9125,60.7625,60.075,91.6375,75.925,89.0625,60.2375,83.625,68.3,63.175,56.05,56.8625,31.775,71.3375,67.3125,9.4875,7.4625,57.875,31.4625,72.325,67.0625,7.25,31.75,9.875,0.5,0.25,3.175,2.6875,13.1,55,67.9,61,50.5875,30,27.675,55,30,20,15.6375,24.25,34.4,19,12.55,19,40,24.6,39.9125,21.1875,22.5125,9.7375,4.5,11.9375,61.3625,54.1625,56.5375,46.4,3.7,62.1875,11.2125,62.9375,51.5125,50.1125,52.4,21.475,72,79.35,14.6625,62.85,73.7125,29.225,60.125,67.2625,15.725,58.375,55.125,10.0375,49.325,39.8,25.6,24.4,2314180.638,1.5,2387003.5,1.575,-0.0875,-1.8925,-1.68875,-2.4875,-2.20625,-2.415,259.6,274.625,5,5,4.2875,4,6.5625,6.6,4.675,4.3,15.034,15.763375,0.375,24.725,25.4625,11.1625,40.4625,53.5625,19.7625,0,42.8,92.0625,48.3625,69.1875,55.8,79.5,33.2,58.05,3.4,-45.7625,0.04625,4.1225,3.39125,3.27375,2.66,4.45,-8.5625,5.20375,8.92625,4.46625,2.54,0.01,2.6425,8.85,-35.1,8.7675,2.98625,6.59125,6.6,-38.325,3.44375,7.57125,7.6,-28.45,2.04875,5.53,5.5,-46.2625,1.675,0.1625,20.7,4.1,10.15,15.05,21.4375,18.8625,20.9625,21.575,1.9625,-2.4875,99,75,100.6666667,75,18.60833333,20.5,15.5,14.575,16,13,815.3333333,950,450
R13,CDRC19060696,2019-06-14 1:49,AAA11111111,65,619.25,1299,1350,132,1308.125,184,1839,189,1890,1849,134,1290.25,1749,101,969.75,1699,1216.625,125,1449,145,810.625,85,,,523.9875,0,638.8625,477.7875,100,37,37,39.975,100,42,42,42.4125,7017.25,329.575,20580091,0,173,238,39.3,7.45,7.425,200,200,201.85,199.925,20.2875,37.5375,30.6375,0,0,0.2125,1.6125,0.025,0,-0.0375,-0.0125,50.225,19.7625,53.35,49.575,48.675,71.0125,60.7375,59.8625,91.6375,75.15,89.8,60.2875,83.4875,67.825,62.9875,56.125,57,31.9,71.275,67.1,9.625,7.3125,57.825,31.4625,72.2625,67.0375,27.875,0,10.875,0.625,-0.875,3.475,3.1125,13.1125,55,67.6,60.8125,48.75,30,27.6625,55,30,20,15.65,24.2625,34.6375,19,12.575,19,40,24.175,39.9,21.6,23,9.8,4.5,9.925,61.9875,54.2875,56.6,46.3125,7.7625,61.35,10.4625,63.0125,51.625,50.0125,52.4,21.4375,72,77.4875,11.7125,63.55,72.8125,28.95,60.175,70.575,18.65,58.25,61.1375,8.85,49.65,40,25.6,24.4,2314333.438,1.5,2387163.838,1.575,-0.1,-1.9925,-1.8575,-2.68375,-2.40375,-2.62625,269.7,275.25,5,5,4.025,4,6.55,6.6,4.675,4.3,15.03225,15.785875,0.5875,25.075,25.525,11.1375,40.5875,53.0875,18.1875,0,44.7125,92.3875,45.1375,69.2625,60.575,79,32.775,57.6,3.4,-46.5125,0.07375,4.17875,3.415,3.28375,2.65125,4.45,-8.6625,5.22,8.85,4.44,2.34,0.01,2.76,8.85,-36.975,8.79875,2.78625,6.59625,6.6,-39.375,3.74,7.525,7.6,-26.8125,2.0225,5.485,5.5,-45.7375,1.7,0.2125,20.6375,4.1,10.0625,14.95,21.5125,18.75,20.6625,21.25,1.65,-2.6625,100,75,104,75,18.56666667,20.5,15.5,14.9125,16,13,790,950,450
R13,CDRC19060697,2019-06-14 1:59,AAA11111111,65,620.625,1299,1350,132,1307.625,184,1839,189,1890,1849,134,1290.125,1749,101,968.625,1699,1217.125,125,1449,145,811.625,85,,,235.0625,611.1,751.5,353,100,37,37,40.0125,100,42,42,42.3625,5914.75,336.525,20582141.25,164.75,175.3,237.9875,39.3,7.4375,7.4375,200,200,201.9,199.9375,20.175,37.525,30.9125,0,0,0.1625,2.2375,0.0125,0.0125,-0.2625,0.525,50.3375,19.6625,53.375,49.5375,48.4625,71.325,60.95,59.9125,91.4375,75,89.35,60.0875,83.8375,68.1,62.9875,56.475,57.0125,31.8375,71.4,67.425,9.7,7.225,58.05,31.275,72.6125,67.125,21,11,10,0.75,-0.5,3.1125,2.8,13.1125,55,65.9625,60.4,48.4375,30,29.325,55,30,20,15.5875,24.1625,34.8125,19,12.5375,19,40,24.3625,39.9,22.225,23.2625,9.7,4.5,12.3375,61.9,54.2375,56.525,46.125,7.7125,60.1875,11.125,63,51.5875,49.9125,52.4,21.1625,72.0625,81.525,14.725,63.2375,73.3375,29.4875,60.0625,68.95,21.3375,57.5,64.45,5.85,50.3125,40,25.5125,24.225,2314486.787,1.5,2387324.788,1.575,-0.10375,-2.035,-1.96,-2.7625,-2.50875,-2.66125,90,274.3875,5,5,4.475,4,6.5375,6.6,4.6375,4.3,15.032375,15.77225,0.925,24.8,25.55,10.9875,41.175,53.425,19.8375,0,43.525,93.625,47.3875,69.8125,63.925,79.375,32.6,57.5625,3.4,-45.2125,0.1175,4.13125,3.3875,3.28625,2.61875,4.45,-8.8125,5.295,8.905,4.45625,2.55125,0.01,2.68625,8.85,-37.0375,8.91625,2.925,6.65,6.6,-40.825,3.94625,7.55875,7.6,-25.6375,2.0125,5.4825,5.5,-44.5875,1.6875,0.1625,20.5875,3.925,9.825,14.7,21.3875,18.6875,20.75,21.2375,1.7125,-2.6625,100,75,104,75,18.56666667,20.5,15.5,14.9125,16,13,790,950,450
R13,CDRC19060698,2019-06-14 2:09,AAA11111111,65,620.25,1299,1350,132,1308.25,184,1839,189,1890,1849,134,1290.5,1749,101,969.875,1699,1216.25,125,1449,145,809.375,85,,,0,521.5,783.5,229.3125,100,37,37,39.9875,100,45,45,42.3625,0,173,20584177.5,4968.75,331.55,237.9875,39.3,7.4125,7.425,200,200,201.8125,199.9625,20.3375,37.525,30.1875,0,0,0.225,2.2375,0.0375,0.0125,-0.1625,0.1,50.3375,19.5875,53.325,49.525,48.2375,71.5375,60.95,60.0625,91.525,76.6125,89.2875,59.5875,83.9125,69.275,63.3625,55.95,56.8875,31.8375,71.5875,66.9875,9.6875,7.2125,58.125,31.2125,72.55,67.2875,0,29.5,10.875,2.125,-3.75,3.1125,2.7375,13.1375,55,67.325,60.9125,50.875,30,27.6625,55,30,20,15.575,24.075,34.1875,19,12.575,19,40,24.6,40,21.7625,23.1875,9.7625,4.5,11.625,61.525,54.275,56.55,46.5125,3.5,62.275,10.7625,63,51.6625,49.8125,52.35,21.3125,72,79.35,14.35,63.0125,73,29.325,60.0875,68.175,17.275,58.1375,59.1,7.25,50.0625,39.7,25.45,24.1,2314639.05,1.5,2387484.55,1.575,-0.0825,-1.835,-1.63625,-2.44,-2.22,-2.48125,89.7,273.4625,5,5,4.0625,4,6.5125,6.6,4.5625,4.3,15.03175,15.774125,0.3,25.1625,25.325,11.1125,40.375,53.575,19.5125,0,44.6,92.675,50.8,69.5375,58.9375,80.3625,33.325,57.8875,3.4,-45.525,0.035,4.19375,3.42125,3.2575,2.64625,4.45,-8.9625,5.1925,8.92875,4.4825,2.5075,0.01,2.7525,8.85,-37.2625,8.825,3.13625,6.6225,6.6,-39.6375,3.6375,7.6525,7.6,-26.5875,2.05625,5.51375,5.5,-47.6375,1.6375,0.2,20.8125,4.125,10.2,15.1375,21.5625,18.925,21.0375,21.525,1.925,-2.575,101.6666667,75,103,75,18.33333333,20.5,15.5,14.5125,16,13,842.3333333,950,450
R13,CDRC19060699,2019-06-14 2:19,AAA11111111,65,620.5,1299,1350,132,1308.75,184,1839,189,1890,1849,134,1293.75,1749,101,971.125,1699,1216,125,1449,145,811.375,85,,,787.85,135.275,861.8875,111.9,100,40,40,40,100,48,48,42.3,344.75,177.325,20586220.25,4857.75,271.025,238.0375,39.3,7.4375,7.4375,200,200,202.0375,199.9375,19.975,37.4875,30.4625,0,0,0.2,2.225,0.0125,0.0125,-0.15,0.1125,50.275,19.5625,53.6625,49.475,48.525,70.8375,60.8125,59.8,91.7125,76.0375,89.2,59.7375,83.35,68.1,63.0625,56.45,57.25,31.5875,71.4625,66.875,9.6625,7.1875,58.1625,31.0875,72.3,67.275,16.625,4.625,10.625,0.875,-0.875,3.225,2.7375,13.0125,55,68.05,60.9625,49.35,30,27.475,55,30,20,15.675,24.6375,34.75,19,12.6875,19,40,23.925,40.075,21.4125,23.25,9.8,4.5,10.2625,61.8875,54.275,56.6,46.3,7.7125,61.475,11.2,63.1,51.55,50.3625,52.5,21.2,72.0625,79.7375,12.0125,63.6375,73.825,29.25,60.05,70.4375,19.2375,58.1375,61.6125,8.55,49.7875,39.8,25.3625,23.95,2314791.713,1.5,2387644.75,1.575,-0.0975,-1.97875,-1.815,-2.625,-2.39,-2.66125,270,271.2375,5,5,4.4875,4,6.5375,6.6,4.4125,4.3,15.034875,15.7625,0.475,24.7875,25.9,11.05,40.5125,53.7875,19.9125,0,42.8,92.2625,45.05,68.875,60.5875,80.375,33.7375,57.55,3.4,-45.3,0.05875,4.13125,3.38125,3.33125,2.63125,4.45,-8.4375,5.21125,8.96375,4.49125,2.56125,0.01,2.64125,8.85,-34.175,8.78875,2.78125,6.56125,6.6,-37.9,3.74,7.65375,7.6,-27,2.08375,5.47875,5.5,-44.975,1.6625,0.15,20.5875,4.05,10.1125,14.8375,21.475,18.8375,20.8,21.2125,1.725,-2.65,101.6666667,75,103,75,18.33333333,20.5,15.5,14.5125,16,13,842.3333333,950,450
